Metric,2018,2019,2020,2021,2022,2023,2024E,2025E,2026E,2027E,2028E,2029E,2030E,Unit,Source
Global Jewelry Insurance Market Size,3.2,3.5,3.8,4.1,4.41,4.50,4.95,5.30,5.75,6.25,6.80,7.45,8.15,USD Billions,"Cognitive Market Research, Verified Market Reports"
US Jewelry Insurance Market Size (est 45-50% of global),1.4,1.6,1.7,1.85,2.0,2.05,2.25,2.40,2.60,2.85,3.10,3.40,3.70,USD Billions,Implied from global data
Historical CAGR (2018-2023),,,,,5.5,,,,,,,,%,"Cognitive Market Research, Market data interpolation"
Projected CAGR (2024-2033),,,,,,6.5,,,,,,,,%,"Consensus across analyst reports: 5.8-7.8%"
Market Penetration Rate - Engagement Rings,,,,,,,67,68,69,70,71,72,73,%,"Industry standard, Jewelers Mutual, IGS"
Market Penetration Rate - Other Fine Jewelry,,,,,,,34,36,38,40,42,44,46,%,"Estimated from segment data"
Market Penetration Rate - High-Net-Worth (>$5K pieces),,,,,,,50,52,54,56,58,60,62,%,"Estimated from market research"
Average Annual Premium per Policy (as % of value),,,,,,,1.5,1.5,1.5,1.5,1.5,1.5,1.5,%,Industry standard 1-2%
Average Annual Premium per Engagement Ring,,,,,,,120,120,125,125,130,130,135,USD,"Based on $7-8K avg value at 1.5-1.7%"
Average Annual Premium per Mid-Market Item,,,,,,,25,25,25,25,25,25,25,USD,"Based on $1500 avg value at 1.5%"
Segment: Engagement Rings (% of premium volume),,,,,,,48,48,48,48,48,48,48,%,"Estimated based on penetration and volume"
Segment: Mid-Market Jewelry (% of premium volume),,,,,,,32,33,34,35,35,36,36,%,"Estimated based on volume and market size"
Segment: High-Net-Worth (% of premium volume),,,,,,,12,12,12,12,12,12,12,%,"Estimated based on ARPU and penetration"
Segment: Watches & Specialty (% of premium volume),,,,,,,8,7,6,5,5,4,4,%,"Declining as portion of total; absolute size growing"
Channel: Online Direct (% of new policies),,,,,,,22,28,34,40,45,50,55,%,"Digital transformation driving shift; 12-15% CAGR"
Channel: Jeweler/Retail Partnerships (% of policies),,,,,,,25,26,27,28,28,29,30,%,"Embedded insurance growth; Zillion, Zillion model expanding"
Channel: Specialist Insurance Agents (% of policies),,,,,,,35,32,29,26,23,20,18,%,"Traditional channel declining relatively; still absolute growth"
Channel: Homeowners Add-On (% of policies),,,,,,,18,14,10,6,4,1,0,%,"Shifting to specialized; insufficient coverage awareness"
Total Insured Jewelry Value (US),500,560,640,720,820,920,1050,1200,1375,1575,1800,2050,2350,USD Billions,"Calculated from market penetration × TAM (jewelry market ~$77B)"
Annual Claims Payout (US),,,,,,1.1,1.25,1.4,1.6,1.8,2.05,2.3,USD Billions,"Based on 1.8 claims rate (theft 36-44%, damage 44%)"
Claims Rate (% of policies written),,,,,,,1.6,1.8,2.0,2.1,2.2,2.3,2.4,%,"Estimated theft + damage claims frequency"
Theft Claims (% of total claims),,,,,,40,40,40,39,38,37,36,%,"Declining as customers shift to damage/all-risk"
Damage Claims (% of total claims),,,,,,44,44,44,45,45,46,46,%,"Growing as broader coverage becomes standard"
Loss/Disappearance Claims (% of total claims),,,,,,16,16,16,16,17,17,18,%,"Residual category"
Average Claim Value (Engagement Ring),,,,,,,4500,4700,4900,5100,5300,5500,5750,USD,"Based on 67% ring value average and claims experience"
Average Claim Value (Other Fine Jewelry),,,,,,,1200,1250,1300,1350,1400,1450,1500,USD,"Lower value items with moderate claim frequency"
Market Share - Jewelers Mutual,,,,,,,28,27,27,26,25,24,23,%,"Market leadership; gradual erosion to digital competitors"
Market Share - Chubb,,,,,,,19,19,18,17,16,15,14,%,"Legacy carrier; HNW focus; relative decline"
Market Share - BriteCo,,,,,,,4,5,7,9,11,13,15,%,"InsurTech disruption; rapid growth in digital channel"
Market Share - Zillion,,,,,,,2,3,4,5,6,7,8,%,"Embedded insurance growth; retail partnerships"
Market Share - Other Specialty (Lavalier, Travelers, etc),,,,,,,15,16,16,17,17,17,17,%,"Fragmented; regional players, ethical niche"
Market Share - Traditional Multi-Line (Liberty, Allstate, Progressive, Lemonade),,,,,,,32,30,28,26,25,24,23,%,"Bundled/secondary offering; declining market share"
Percentage of Consumers Preferring Digital (survey data),,,,,,,62,65,68,70,72,74,75,%,"Trend from market research; digital shift accelerating"
Travel Coverage Adoption (% of policies),,,,,,,44,48,52,56,60,64,68,%,"Rapid expansion; 42% of providers added in 2024"
Mobile App Management of Policies (% of customers),,,,,,,51,58,65,72,78,84,89,%,"Digital customer preference and feature expansion"
Jewelry Market TAM (US),,,,,,,77.2,79.5,82.0,84.5,87.1,89.9,92.7,USD Billions,"US jewelry market ~4.2% CAGR from $77.2B (2024)"
Insurable Jewelry Portion of TAM (mid+luxury),,,,,,,59.3,61.1,63.1,65.0,67.1,69.2,71.4,USD Billions,"77% of total jewelry market (luxury 42% + mid 35%)"
